,DayOfTheWeekNumber,Day,Total
0,0.0,Monday,3683
1,1.0,Tuesday,3748
2,2.0,Wednesday,3731
3,3.0,Thursday,3310
4,4.0,Friday,2834
5,5.0,Saturday,3149
6,6.0,Sunday,3451
